web-scraper-order,web-scraper-start-url,phone price,delivery ,phone features,phone display image-src
1603005369-30,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Tomorrow, October 19",,
1603005369-18,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"22,990",,,
1603005369-23,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Tomorrow, October 19",,
1603005369-56,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/81rpzlanj1L._AC_UY218_.jpg
1603005369-62,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/71AYb2AGHXL._AC_UY218_.jpg
1603005369-2,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"10,999",,,
1603005369-14,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"6,799",,,
1603005369-43,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"Redmi Note 8 (Neptune Blue, 4GB RAM, 64GB Storage)",
1603005369-6,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"13,990",,,
1603005369-66,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/81lDF673d9L._AC_UY218_.jpg
1603005369-58,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/81EjHa-dSJL._AC_UY218_.jpg
1603005369-35,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Tomorrow, October 19",,
1603005369-47,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"Vivo Y50 (Iris Blue, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",
1603005369-10,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"13,990",,,
1603005369-4,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"12,990",,,
1603005369-61,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/61Z-7BVaFUL._AC_UY218_.jpg
1603005369-13,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"19,990",,,
1603005369-9,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"4,999",,,
1603005369-39,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"Vivo Y20 (Obsidian Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",
1603005369-53,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"OPPO F17 Pro (Matte Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",
1603005369-44,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"Samsung Galaxy M01 Core (Black, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers",
1603005369-71,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/71cLxfNqyFL._AC_UY218_.jpg
1603005369-25,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Tomorrow, October 19",,
1603005369-54,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/71QLvGIAq5L._AC_UY218_.jpg
1603005369-67,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/712Ex7xDndL._AC_UY218_.jpg
1603005369-28,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Tomorrow, October 19",,
1603005369-27,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Tomorrow, October 19",,
1603005369-8,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"11,499",,,
1603005369-64,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/81EjHa-dSJL._AC_UY218_.jpg
1603005369-60,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/71uZrDPrsRL._AC_UY218_.jpg
1603005369-51,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"Tecno Spark 5 Pro (Seabed Blue, 4GB RAM, 64GB Storage)",
1603005369-3,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"12,999",,,
1603005369-63,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/61424WwLFjL._AC_UY218_.jpg
1603005369-45,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"Vivo Y30 (Emerald Black, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",
1603005369-69,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/81sXQ5gXL3L._AC_UY218_.jpg
1603005369-38,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"Redmi Note 9 Pro (Glacier White, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",
1603005369-29,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Tomorrow, October 19",,
1603005369-22,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Tomorrow, October 19",,
1603005369-1,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,"14,999",,,
1603005369-48,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"OPPO F17 (Navy Blue, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",
1603005369-65,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,,https://m.media-amazon.com/images/I/51-Lt4PMadL._AC_UY218_.jpg
1603005369-26,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Tomorrow, October 19",,
1603005369-37,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,,"Redmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",
1603005369-33,https://www.amazon.in/s?k=all+mobile+phones+above+15k&ref=nb_sb_noss,,"Monday, October 26",,
