web-scraper-order,web-scraper-start-url,phone name,phone description,,price,phone image-src,Ratings and  reviews
1603006984-105,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) HD+ Display13MP + 2MP + 2MP | 5MP Front Camera5000 mAh Li-ion Polymer BatteryMediatek Helio G35 Processor1 Year on Handset and 6 Months on Accessories,,,,
1603006984-177,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.350,414 Ratings & 4,345 Reviews"
1603006984-151,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-127,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 6,999",,
1603006984-121,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 8,299",,
1603006984-118,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 9,499",,
1603006984-159,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.41,54,356 Ratings & 10,667 Reviews"
1603006984-168,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.515,151 Ratings & 823 Reviews"
1603006984-169,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.38,804 Ratings & 1,281 Reviews"
1603006984-86,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Infinix Smart 4 Plus (Quetzal Cyan, 32 GB)",,,,,
1603006984-103,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) HD+ Display13MP + 2MP + 2MP | 5MP Front Camera5000 mAh Li-ion Polymer BatteryMediatek Helio G35 Processor1 Year on Handset and 6 Months on Accessories,,,,
1603006984-99,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) HD+ Display13MP Rear Camera | 5MP Front Camera5000 mAh Lithium Polymer BatteryMediaTek Helio G25 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,,
1603006984-102,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display64MP + 13MP + 2MP + 2MP | 20MP Front Camera6000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 732G Processor1 Year for Handset and 6 Months for Accessories,,,,
1603006984-164,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.526,931 Ratings & 1,506 Reviews"
1603006984-141,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-78,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Apple iPhone SE (White, 64 GB)",,,,,
1603006984-156,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-180,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.451,020 Ratings & 4,491 Reviews"
1603006984-144,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-150,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-107,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display64MP + 8MP + 5MP + 2MP | 16MP Front Camera5000 mAh Lithium Polymer BatteryQualcomm Snapdragon 730G ProcessorStock Android Experience1 Year on Handset and 6 Months on Accessories,,,,
1603006984-110,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB17.32 cm (6.82 inch) HD+ Display13MP + Depth Sensor | 8MP Front Camera6000 mAh Lithium-ion Polymer BatteryMediatek Helio A25 Processor1 Year on Handset and 6 Months on Accessories,,,,
1603006984-171,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.38,804 Ratings & 1,281 Reviews"
1603006984-91,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"POCO M2 Pro (Green and Greener, 64 GB)",,,,,
1603006984-85,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"POCO C3 (Lime Green, 32 GB)",,,,,
1603006984-165,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.531,597 Ratings & 2,789 Reviews"
1603006984-113,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 6,499",,
1603006984-109,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 5MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 720G Processor1 Year for Handset, 6 Months for Accessories",,,,
1603006984-74,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Realme C12 (Power Silver, 32 GB)",,,,,
1603006984-101,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,64 GB ROM15.5 cm (6.102 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessoriOS 13 CompatibleBrand Warranty of 1 Year,,,,
1603006984-136,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,https://rukminim1.flixcart.com/image/312/312/kcdp5zk0/mobile/x/4/f/realme-c11-rmx2185-original-imaftjf8ymthu7ac.jpeg?q=70,
1603006984-108,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,"6 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) Full HD+ Display13MP + 8MP + 5MP + 2MP | 8MP Front Camera5000 mAh Lithium Polymer BatteryMediaTek Helio G80 Processor1 Year for Handset, 6 Months for Accessories",,,,
1603006984-89,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Motorola One Fusion+ (Twilight Blue, 128 GB)",,,,,
1603006984-148,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-149,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-84,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"POCO X3 (Shadow Gray, 128 GB)",,,,,
1603006984-123,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 18,499",,
1603006984-143,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-155,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-174,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.51,290 Ratings & 98 Reviews"
1603006984-126,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 7,499",,
1603006984-88,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Apple iPhone XR ((PRODUCT)RED, 64 GB)",,,,,
1603006984-146,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-96,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,"64 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers | Qi Chargers are Sold SeparatelyBrand Warranty for 1 Year",,,,
1603006984-114,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 7,999",,
1603006984-157,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-122,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 8,299",,
1603006984-81,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Redmi 9i (Midnight Black, 64 GB)",,,,,
1603006984-116,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 29,999",,
1603006984-181,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.451,020 Ratings & 4,491 Reviews"
1603006984-152,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-98,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.59 cm (6.53 inch) HD+ Display13MP Rear Camera | 5MP Front Camera5000 mAh Lithium Polymer BatteryMediaTek Helio G25 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,,
1603006984-73,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Realme C12 (Power Blue, 32 GB)",,,,,
1603006984-167,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.515,151 Ratings & 823 Reviews"
1603006984-134,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 6,999",,
1603006984-158,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-135,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 6,999",,
1603006984-76,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Realme C15 (Power Silver, 32 GB)",,,,,
1603006984-95,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.56 cm (6.52 inch) HD+ Display13MP + 8MP + 2MP + 2MP | 8MP Front Camera6000 mAh Lithium-ion BatteryMediatek Helio G35 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,,,,
1603006984-90,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"POCO M2 (Slate Blue, 64 GB)",,,,,
1603006984-92,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Infinix Smart 4 Plus (Midnight Black, 32 GB)",,,,,
1603006984-179,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.451,020 Ratings & 4,491 Reviews"
1603006984-97,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,64 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessoriOS 13 CompatibleBrand Warranty of 1 Year,,,,
1603006984-129,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 37,999",,
1603006984-173,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.451,020 Ratings & 4,491 Reviews"
1603006984-137,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,https://rukminim1.flixcart.com/image/312/312/kdxfc7k0/mobile/k/q/t/realme-c12-rmx2189-original-imafupuyk9wynufy.jpeg?q=70,
1603006984-142,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-111,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB17.32 cm (6.82 inch) HD+ Display13MP + Depth Sensor | 8MP Front Camera6000 mAh Lithium-ion Polymer BatteryMediatek Helio A25 Processor1 Year on Handset and 6 Months on Accessories,,,,
1603006984-172,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.51,290 Ratings & 98 Reviews"
1603006984-87,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"POCO C3 (Matte Black, 32 GB)",,,,,
1603006984-100,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB16.94 cm (6.67 inch) Full HD+ Display64MP + 13MP + 2MP + 2MP | 20MP Front Camera6000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 732G Processor1 Year for Handset and 6 Months for Accessories,,,,
1603006984-153,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-163,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,4.5718 Ratings & 48 Reviews
1603006984-79,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Apple iPhone XR (White, 64 GB)",,,,,
1603006984-80,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Redmi 9i (Sea Blue, 64 GB)",,,,,
1603006984-161,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.453,277 Ratings & 3,185 Reviews"
1603006984-130,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 15,999",,
1603006984-83,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Apple iPhone XR (Black, 64 GB)",,,,,
1603006984-75,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Apple iPhone SE (Black, 64 GB)",,,,,
1603006984-115,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 7,999",,
1603006984-145,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-117,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 8,499",,
1603006984-124,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 37,999",,
1603006984-162,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.531,597 Ratings & 2,789 Reviews"
1603006984-72,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Realme C11 (Rich Green, 32 GB)",,,,,
1603006984-119,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 29,999",,
1603006984-154,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
1603006984-175,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.623,473 Ratings & 1,967 Reviews"
1603006984-176,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,,,"4.440,902 Ratings & 5,188 Reviews"
1603006984-77,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,"Realme C15 (Power Blue, 64 GB)",,,,,
1603006984-131,https://www.flipkart.com/search?q=top%20%20mobiles&otracker=search&otracker1=search&marketplace=FLIPKART&as-show=on&as=off,,,,"? 10,499",,
